Question,Tag
Check if There is a Valid Partition For The Array,greedy
Container With Most Water,greedy
Wildcard Matching,greedy
Jump Game II,greedy
Jump Game,greedy
Best Time to Buy and Sell Stock II,greedy
Gas Station,greedy
Candy,greedy
Largest Number,greedy
Meeting Rooms II,greedy
Find the Celebrity,greedy
Wiggle Sort,greedy
Remove Duplicate Letters,greedy
Create Maximum Number,greedy
Patching Array,greedy
Increasing Triplet Subsequence,greedy
Rearrange String k Distance Apart,greedy
Wiggle Subsequence,greedy
Integer Replacement,greedy
Remove K Digits,greedy
Queue Reconstruction by Height,greedy
Longest Palindrome,greedy
Split Array Largest Sum,greedy
Strong Password Checker,greedy
Non-overlapping Intervals,greedy
Minimum Number of Arrows to Burst Balloons,greedy
Assign Cookies,greedy
Find Permutation,greedy
IPO,greedy
Super Washing Machines,greedy
Word Abbreviation,greedy
Split Concatenated Strings,greedy
Array Partition,greedy
Shortest Unsorted Continuous Subarray,greedy
Can Place Flowers,greedy
Valid Triangle Number,greedy
Task Scheduler,greedy
Maximum Distance in Arrays,greedy
Minimum Factorization,greedy
Course Schedule III,greedy
Smallest Range Covering Elements from K Lists,greedy
Maximum Length of Pair Chain,greedy
Dota2 Senate,greedy
Split Array into Consecutive Subsequences,greedy
Maximum Swap,greedy
Valid Parenthesis String,greedy
Valid Palindrome II,greedy
Best Time to Buy and Sell Stock with Transaction Fee,greedy
Monotone Increasing Digits,greedy
Set Intersection Size At Least Two,greedy
Check if There is a Valid Partition For The Array,greedy
Container With Most Water,greedy
Wildcard Matching,greedy
Jump Game II,greedy
Jump Game,greedy
Best Time to Buy and Sell Stock II,greedy
Gas Station,greedy
Candy,greedy
Largest Number,greedy
Meeting Rooms II,greedy
Find the Celebrity,greedy
Wiggle Sort,greedy
Remove Duplicate Letters,greedy
Create Maximum Number,greedy
Patching Array,greedy
Increasing Triplet Subsequence,greedy
Rearrange String k Distance Apart,greedy
Wiggle Subsequence,greedy
Integer Replacement,greedy
Remove K Digits,greedy
Queue Reconstruction by Height,greedy
Longest Palindrome,greedy
Split Array Largest Sum,greedy
Strong Password Checker,greedy
Non-overlapping Intervals,greedy
Minimum Number of Arrows to Burst Balloons,greedy
Assign Cookies,greedy
Find Permutation,greedy
IPO,greedy
Super Washing Machines,greedy
Word Abbreviation,greedy
Split Concatenated Strings,greedy
Array Partition,greedy
Shortest Unsorted Continuous Subarray,greedy
Can Place Flowers,greedy
Valid Triangle Number,greedy
Task Scheduler,greedy
Maximum Distance in Arrays,greedy
Minimum Factorization,greedy
Course Schedule III,greedy
Smallest Range Covering Elements from K Lists,greedy
Maximum Length of Pair Chain,greedy
Dota2 Senate,greedy
Split Array into Consecutive Subsequences,greedy
Maximum Swap,greedy
Valid Parenthesis String,greedy
Valid Palindrome II,greedy
Best Time to Buy and Sell Stock with Transaction Fee,greedy
Monotone Increasing Digits,greedy
Set Intersection Size At Least Two,greedy
Couples Holding Hands,greedy
Reorganize String,greedy
Max Chunks To Make Sorted II,greedy
Max Chunks To Make Sorted,greedy
Rabbits in Forest,greedy
Max Increase to Keep City Skyline,greedy
Most Profit Assigning Work,greedy
Hand of Straights,greedy
Minimum Cost to Hire K Workers,greedy
Lemonade Change,greedy
Score After Flipping Matrix,greedy
Advantage Shuffle,greedy
Minimum Number of Refueling Stops,greedy
Boats to Save People,greedy
Smallest Range II,greedy
Minimum Add to Make Parentheses Valid,greedy
Stamping The Sequence,greedy
DI String Match,greedy
Minimum Increment to Make Array Unique,greedy
Bag of Tokens,greedy
Array of Doubled Pairs,greedy
Delete Columns to Make Sorted II,greedy
Pancake Sorting,greedy
Largest Perimeter Triangle,greedy
String Without AAA or BBB,greedy
Broken Calculator,greedy
Maximize Sum Of Array After K Negations,greedy
Minimum Domino Rotations For Equal Row,greedy
Partition Array Into Three Parts With Equal Sum,greedy
Video Stitching,greedy
Two City Scheduling,greedy
Previous Permutation With One Swap,greedy
Distant Barcodes,greedy
Shortest Way to Form String,greedy
Campus Bikes,greedy
Minimize Rounding Error to Meet Target,greedy
Smallest Subsequence of Distinct Characters,greedy
Largest Values From Labels,greedy
Divide Array Into Increasing Sequences,greedy
Minimum Cost Tree From Leaf Values,greedy
Decrease Elements To Make Array Zigzag,greedy
Longest Chunked Palindrome Decomposition,greedy
Minimum Cost to Connect Sticks,greedy
Maximum Number of Ones,greedy
How Many Apples Can You Put into the Basket,greedy
Minimum Time to Build Blocks,greedy
Minimum Cost to Move Chips to The Same Position,greedy
Split a String in Balanced Strings,greedy
Minimum Swaps to Make Strings Equal,greedy
Reconstruct a 2-Row Binary Matrix,greedy
Greatest Sum Divisible by Three,greedy
Divide Array in Sets of K Consecutive Numbers,greedy
Maximum 69 Number,greedy
Minimum Number of Taps to Open to Water a Garden,greedy
Break a Palindrome,greedy
Reverse Subarray To Maximize Array Value,greedy
Reduce Array Size to The Half,greedy
Maximum Number of Events That Can Be Attended,greedy
Largest Multiple of Three,greedy
Balance a Binary Search Tree,greedy
Maximum Performance of a Team,greedy
Cinema Seat Allocation,greedy
Pizza With 3n Slices,greedy
Construct K Palindrome Strings,greedy
Reducing Dishes,greedy
Minimum Subsequence in Non-Increasing Order,greedy
Longest Happy String,greedy
Find the Minimum Number of Fibonacci Numbers Whose Sum Is K,greedy
Max Difference You Can Get From Changing an Integer,greedy
