Question,Tag
Check If a String Can Break Another String,greedy
Maximum Area of a Piece of Cake After Horizontal and Vertical Cuts,greedy
Least Number of Unique Integers after K Removals,greedy
Avoid Flood in The City,greedy
Minimum Possible Integer After at Most K Adjacent Swaps On Digits,greedy
Minimum Difference Between Largest and Smallest Value in Three Moves,greedy
Maximum Number of Non-Overlapping Substrings,greedy
Minimum Number of Increments on Subarrays to Form a Target Array,greedy
Minimum Suffix Flips,greedy
Minimum Swaps to Arrange a Binary Grid,greedy
Get the Maximum Score,greedy
Minimum Insertions to Balance a Parentheses String,greedy
Maximum Number of Non-Overlapping Subarrays With Sum Equals Target,greedy
Minimum Numbers of Function Calls to Make Target Array,greedy
Maximum Number of Coins You Can Get,greedy
Put Boxes Into the Warehouse I,greedy
Maximum Length of Subarray With Positive Product,greedy
Minimum Time to Make Rope Colorful,greedy
Put Boxes Into the Warehouse II,greedy
Check If String Is Transformable With Substring Sort Operations,greedy
Maximum Sum Obtained of Any Permutation,greedy
Find Valid Matrix Given Row and Column Sums,greedy
Find Servers That Handled Most Number of Requests,greedy
Rank Transform of a Matrix,greedy
Furthest Building You Can Reach,greedy
Minimum Deletions to Make Character Frequencies Unique,greedy
Sell Diminishing-Valued Colored Balls,greedy
Smallest String With A Given Numeric Value,greedy
Minimum Initial Energy to Finish Tasks,greedy
Minimum Number of Removals to Make Mountain Array,greedy
Find the Most Competitive Subsequence,greedy
Check if There is a Valid Partition For The Array,greedy
Container With Most Water,greedy
Wildcard Matching,greedy
Jump Game II,greedy
Jump Game,greedy
Best Time to Buy and Sell Stock II,greedy
Gas Station,greedy
Candy,greedy
Largest Number,greedy
Meeting Rooms II,greedy
Find the Celebrity,greedy
Wiggle Sort,greedy
Remove Duplicate Letters,greedy
Create Maximum Number,greedy
Patching Array,greedy
Increasing Triplet Subsequence,greedy
Rearrange String k Distance Apart,greedy
Wiggle Subsequence,greedy
Integer Replacement,greedy
Remove K Digits,greedy
Queue Reconstruction by Height,greedy
Longest Palindrome,greedy
Split Array Largest Sum,greedy
Strong Password Checker,greedy
Non-overlapping Intervals,greedy
Minimum Number of Arrows to Burst Balloons,greedy
Assign Cookies,greedy
Find Permutation,greedy
IPO,greedy
Super Washing Machines,greedy
Word Abbreviation,greedy
Split Concatenated Strings,greedy
Array Partition,greedy
Shortest Unsorted Continuous Subarray,greedy
Can Place Flowers,greedy
Valid Triangle Number,greedy
Task Scheduler,greedy
Maximum Distance in Arrays,greedy
Minimum Factorization,greedy
Course Schedule III,greedy
Smallest Range Covering Elements from K Lists,greedy
Maximum Length of Pair Chain,greedy
Dota2 Senate,greedy
Split Array into Consecutive Subsequences,greedy
Maximum Swap,greedy
Valid Parenthesis String,greedy
Valid Palindrome II,greedy
Best Time to Buy and Sell Stock with Transaction Fee,greedy
Monotone Increasing Digits,greedy
Set Intersection Size At Least Two,greedy
Find Original Array From Doubled Array,greedy
Longest Subsequence Repeated k Times,greedy
Average Height of Buildings in Each Segment,greedy
Minimum Moves to Convert String,greedy
Stone Game IX,greedy
Smallest K-Length Subsequence With Occurrences of a Letter,greedy
Remove Colored Pieces if Both Neighbors are the Same Color,greedy
Maximum Number of Tasks You Can Assign,greedy
Two Furthest Houses With Different Colors,greedy
Minimum Number of Food Buckets to Feed the Hamsters,greedy
Minimum Cost Homecoming of a Robot in a Grid,greedy
Removing Minimum and Maximum From Array,greedy
Subsequence of Size K With the Largest Even Sum,greedy
Check if a Parentheses String Can Be Valid,greedy
Destroying Asteroids,greedy
Longest Palindrome by Concatenating Two Letter Words,greedy
Stamping the Grid,greedy
Earliest Possible Day of Full Bloom,greedy
Minimum Moves to Reach Target Score,greedy
Maximum Running Time of N Computers,greedy
Minimum Cost of Buying Candies With Discount,greedy
Minimum Sum of Four Digit Number After Splitting Digits,greedy
Minimum Operations to Make the Array Alternating,greedy
Maximum Split of Positive Even Integers,greedy
Construct String With Repeat Limit,greedy
Minimum Number of Moves to Make Palindrome,greedy
Append K Integers With Minimal Sum,greedy
Maximize the Topmost Element After K Moves,greedy
Maximize Number of Subsequences in a String,greedy
Minimum Operations to Halve Array Sum,greedy
Minimum Health to Beat Game,greedy
Minimum Deletions to Make Array Beautiful,greedy
Minimum Number of Operations to Convert Time,greedy
Maximum Product After K Increments,greedy
Maximum Total Beauty of the Gardens,greedy
Design an ATM Machine,greedy
Minimum Rounds to Complete All Tasks,greedy
Remove Digit From Number to Maximize Result,greedy
Make Array Non-decreasing or Non-increasing,greedy
Minimum Number of Keypresses,greedy
Maximum White Tiles Covered by a Carpet,greedy
Maximum Bags With Full Capacity of Rocks,greedy
Maximum Total Importance of Roads,greedy
Partition Array Such That Maximum Difference Is K,greedy
Sum of Numbers With Units Digit K,greedy
Longest Binary Subsequence Less Than or Equal to K,greedy
Find Minimum Time to Finish All Jobs II,greedy
Minimum Amount of Time to Fill Cups,greedy
Minimum Adjacent Swaps to Make a Valid Array,greedy
Shortest Impossible Sequence of Rolls,greedy
Make Array Zero by Subtracting Equal Amounts,greedy
Maximum Number of Groups Entering a Competition,greedy
Minimum Replacements to Sort the Array,greedy
Minimize Maximum Value in a Grid,greedy
Construct Smallest Number From DI String,greedy
Minimum Hours of Training to Win a Competition,greedy
Largest Palindromic Number,greedy
Longest Subsequence With Limited Sum,greedy
Optimal Partition of String,greedy
Divide Intervals Into Minimum Number of Groups,greedy
Maximum Matching of Players With Trainers,greedy
Minimum Money Required Before Transactions,greedy
Merge Operations to Turn Array Into a Palindrome,greedy
Minimize XOR,greedy
Using a Robot to Print the Lexicographically Smallest String,greedy
Minimum Split Into Subarrays With GCD Greater Than One,greedy
Minimize Maximum of Array,greedy
Minimum Cost to Make Array Equal,greedy
Minimum Number of Operations to Make Arrays Similar,greedy
Minimum Addition to Make Integer Beautiful,greedy
Sort Array by Moving Items to Empty Space,greedy
Append Characters to String to Make Subsequence,greedy
Maximum Star Sum of a Graph,greedy
Frog Jump II,greedy
Minimum Total Cost to Make Arrays Unequal,greedy
Partition String Into Substrings With Values at Most K,greedy
Maximize the Minimum Powered City,greedy
Maximal Score After Applying K Operations,greedy
Minimum Operations to Make Array Equal II,greedy
Maximum Subsequence Score,greedy
Maximum Price to Fill a Bag,greedy
Put Marbles in Bags,greedy
Maximum Number of Integers to Choose From a Range I,greedy
Maximum Number of Integers to Choose From a Range II,greedy
Rearranging Fruits,greedy
Maximum Difference by Remapping a Digit,greedy
Minimum Score by Changing Two Elements,greedy
Minimum Operations to Reduce an Integer to 0,greedy
Find the String with LCP,greedy
Find the Maximum Number of Marked Indices,greedy
Split With Minimum Sum,greedy
Rearrange Array to Maximize Prefix Score,greedy
Minimum Time to Complete All Tasks,greedy
Distribute Money to Maximum Children,greedy
Maximize Greatness of an Array,greedy
Smallest Missing Non-negative Integer After Operations,greedy
Make the Prefix Sum Non-negative,greedy
K Items With the Maximum Sum,greedy
Prime Subtraction Operation,greedy
Mice and Cheese,greedy
